PM2.5,PM10,NO,NO2,NOx,CO,AQI_Bucket
62.49,113.56,8.08,22.65,18.7,0.91,Moderate
49.04,102.46,5.75,19.92,15.26,0.64,Moderate
15.2,45.09,4.69,9.26,8.84,1.18,Moderate
16.56,41.96,3.03,7.25,6.31,0.41,Moderate
19.57,44.72,3.72,7.72,7.22,0.34,Moderate
27.42,57.28,3.36,19.38,13.04,0.32,Moderate
31.26,72.82,2.6,10.78,7.92,0.4,Moderate
28.12,70.21,2.67,13.18,9.28,0.38,Moderate
8.68,26.62,2.19,5.01,4.44,0.31,Good
10.45,41.47,4.1,11.13,9.34,0.47,Good
14.48,35.5,5.28,12.77,11.09,0.5,Good
27.1,112.48,9.04,23.91,20.07,0.47,Moderate
18.47,52.91,7.36,16.89,15.06,0.8,Moderate
16.73,40.15,6.61,16.05,14,0.44,Good
18.72,57.71,7.08,25.46,19.29,0.42,Good
11.39,28.72,4.4,11.2,9.63,0.39,Good
10.62,19.96,3.71,9.32,8.1,0.59,Good
27.1,89.38,11.58,21.31,20.76,1.54,Moderate
65.16,184.84,22.45,52.69,46.28,1.07,Moderate
52.88,172.08,5.52,26.45,18.96,0.81,Moderate
40.99,122.69,4.32,29.54,19.32,0.6,Moderate
39.22,102.6,4.9,24.58,17.06,0.95,Moderate
56.53,128.8,9.84,36.38,27.43,1.18,Moderate
69.42,167.05,1.79,45.82,25.35,1.35,Moderate
53.53,119.1,1.52,38.23,21.54,0.88,Moderate
48.33,115.41,1.38,36.77,20.23,1.16,Moderate
58.65,125.68,1.23,36.24,20.27,1.26,Moderate
51.51,111.28,20.08,57.93,47.24,1.07,Moderate
56.85,115.5,16.11,62.91,46.64,0.82,Moderate
68.25,129.41,15.11,65,46.85,1.22,Moderate
84.48,164.24,14.25,80.74,54.62,1.21,Moderate
77.38,173.47,22.55,75.54,58.58,1.15,Moderate
71.23,160.66,15.11,89.44,59.86,1.48,Moderate
85.11,183.15,9.11,97.16,59.17,1.28,Moderate
93.95,190.73,19.47,105.22,71.79,1.81,Moderate
80.96,152.44,4.73,89.01,51.18,1.51,Poor
77.86,159.49,10.69,90.28,56.71,1.16,Moderate
70.89,125.4,3.58,68.12,39.14,1.17,Moderate
74.34,129.57,4.54,69.78,40.81,1.09,Moderate
97.09,143.69,4.09,86.95,49.58,1.11,Moderate
111.21,170.04,4.42,76.7,44.4,1.47,Poor
107.24,162.72,5.85,72.27,43.16,1.14,Poor
89.07,160.83,5.59,72.19,42.93,1.23,Poor
90.61,164.19,5.37,74.89,44.2,1.07,Moderate
96.57,174.31,3.33,57.77,33.44,1.1,Poor
83.4,121.25,2.86,46.47,27.04,1,Moderate
93.78,142.65,5.55,67.51,40.43,1.34,Moderate
92.72,135.61,13.43,77.45,52.11,1.16,Poor
73.19,127.1,13.43,69.17,47.7,0.92,Moderate
82.53,145.06,5.44,67.17,40.16,1.01,Moderate
95.18,154.73,4.57,76.4,44.35,1.34,Poor
79.29,136.71,4.24,74.24,42.93,1.1,Moderate
83.17,140.9,6.56,83.38,49.69,1.09,Moderate
109.97,189.28,13.93,124.57,77.59,1.38,Poor
139.38,230.27,35.59,140.17,103.49,1.24,Very Poor
126.47,187.83,9.48,106.1,64.14,1.43,Very Poor
127.94,196.3,6.73,92.41,54.63,1.33,Very Poor
126.66,184.73,9.63,94.51,58.1,1.45,Very Poor
121.47,215.5,17.24,103.31,68.98,1.5,Very Poor
118.17,219.63,36.87,121.38,94.54,1.25,Poor
97.45,225.75,12.68,121.94,75.16,0.86,Poor
115.23,198.47,14.96,113.39,72.47,0.78,Poor
121.81,193.4,11.17,100.16,62.36,0.96,Very Poor
99.69,157.03,5.83,71.61,42.84,0.5,Poor
92.66,146.49,4.86,57.32,34.44,0.64,Poor
116.99,172.92,2.91,58.43,33.44,0.44,Poor
120.33,182.65,5.68,60.37,36.74,1.02,Very Poor
108.43,159.44,3.49,50.62,29.77,0.7,Poor
118,174.01,3.46,58.6,33.99,0.82,Poor
107.94,163.17,5.64,63.17,38.2,0.8,Poor
108.34,173.27,13.44,61.22,43.49,0.72,Poor
96.45,159.1,17.23,71.77,52.18,0.91,Poor
100.34,165.55,20.01,60.14,48.26,0.85,Poor
62.74,108.94,6.36,43.14,28.2,0.87,Moderate
47.81,99.22,5.98,65.34,39.69,1.02,Moderate
84.99,137.17,5.14,71.78,42.43,1.39,Moderate
63.05,111.15,5.4,68.18,40.73,1.06,Moderate
71.09,128.56,29.13,85.01,68.98,1.15,Moderate
73.21,129.76,3.04,61.14,35.07,1.11,Moderate
81.64,146.56,13.08,83.44,55.08,1.58,Moderate
81.71,142.46,15.23,74.7,49.36,1.03,Moderate
75.52,125.82,7.69,25.85,20.1,0.74,Moderate
65.56,128.56,6.38,23.26,17.36,0.86,Moderate
70.86,142.17,3.01,28.42,17.6,0.74,Moderate
69.96,130.91,15.49,35.52,31.56,0.84,Moderate
60.11,101.22,2.29,22.82,13.91,0.7,Moderate
43.16,149.98,43.76,28.73,50.94,0.8,Moderate
42.51,121.35,18.77,24.64,28.36,0.53,Moderate
49.2,116.27,2.37,16.7,10.86,0.69,Moderate
42.1,87.51,1.68,13.22,8.24,0.57,Moderate
39.77,129.33,14.09,24.88,24.78,0.45,Moderate
43.78,124.06,6.29,19.29,15.47,0.64,Moderate
40.96,101.35,4.18,14.19,11.01,0.46,Moderate
22.52,69.14,7.47,13.59,13.38,0.56,Moderate
17.03,46.96,2.89,10.15,7.82,0.5,Good
37.09,70.85,1.55,7.48,4.74,0.69,Moderate
19.4,55.83,1.42,7.03,4.48,0.76,Moderate
16.52,36.76,1.14,3.14,2.26,0.61,Moderate
9.39,36.94,2.81,12.29,8.89,0.35,Good
9.77,35.42,1.48,12.59,7.81,0.32,Good
24.68,132.02,8.38,29.05,22.21,0.58,Moderate
12.11,40.82,2.1,15.46,9.94,0.31,Good
38.9,111.93,1.76,27.29,16.03,0.98,Moderate
57.73,211.34,3.54,35.92,21.98,0.78,Moderate
44.49,163.62,1.17,22.32,12.89,0.53,Moderate
39.76,152.97,1.12,23.24,13.25,0.52,Moderate
47.3,136.76,1.53,20.22,12.09,0.64,Moderate
39.81,138.9,1.14,18.58,10.81,0.44,Moderate
49.19,155.58,0.95,26.89,13.92,0.77,Moderate
40.38,112.93,1.4,24.31,13.78,0.7,Moderate
44.65,114.79,1.63,19.79,12,0.63,Moderate
35.5,98.4,1.74,19.29,11.72,0.59,Moderate
34.12,88.79,1.7,19.98,12.12,0.7,Moderate
32.33,78.4,1.83,19.42,11.91,0.61,Moderate
40.04,98.75,1.7,17.31,10.2,0.89,Moderate
38.88,86.09,1.31,18,10.69,0.47,Moderate
41.89,99.66,1.66,22.98,13.65,0.77,Moderate
41.47,90.61,0.72,18.25,10.27,0.5,Moderate
39.73,104.78,1.54,27.54,15.99,0.95,Moderate
11.81,43.2,5,29.99,20.12,0.34,Good
10.02,31.73,4.88,33.11,21.72,0.49,Good
9.55,31.71,3.23,24.02,15.47,0.36,Good
17.9,39.22,2.87,29.14,17.92,0.57,Good
17.07,40.3,1.54,25.75,15.04,0.5,Good
13.45,34.6,1,24.16,13.66,0.46,Good
9.57,26.83,2.1,22,13.49,0.36,Good
11.55,25.16,1.2,22.16,12.76,0.35,Good
13.4,23.95,4.39,29.37,19.27,0.42,Good
15.17,40.56,0.93,18.2,10.43,0.39,Good
13.1,34.85,2.64,22.88,14.4,0.33,Good
11.3,31.96,4.61,23.47,16.32,0.28,Good
11.17,25.03,5.24,26.2,18.29,0.34,Good
17.22,34.78,1.25,4.58,3.13,0.42,Good
12.68,20.52,0.74,3.7,2.34,0.4,Good
10.73,22.63,2.92,9.95,7.26,0.36,Good
14.44,40.44,4.68,17.05,12.96,0.47,Good
22.28,42.15,2.14,13.16,8.82,0.54,Good
11.14,18.23,1.11,5.65,3.93,0.44,Good
14.72,22.46,1.25,4.64,3.56,0.49,Good
12.89,26.39,2.53,9.64,7.23,0.5,Good
13.53,23.73,8.56,12.71,13.79,0.42,Good
7.48,15.84,4.57,10.04,8.96,0.38,Good
13.25,37.61,0.65,2.08,1.4,0.33,Good
8,22.87,5.36,10.03,9.41,0.31,Good
10.62,26.84,2.17,4.4,4.19,0.38,Good
8.71,21.35,1.77,4.43,3.76,0.39,Good
9.31,19.98,1.48,3.35,2.36,0.32,Good
7.53,24.18,2.74,6.1,5.55,0.34,Good
6.89,13.83,2.96,6.48,5.95,0.34,Good
7.45,19.56,3.47,7.66,6.99,0.27,Good
10.88,30.31,3.17,10.11,8.05,0.41,Good
15.75,34.12,2.8,9.34,7.33,0.4,Good
17.54,31.8,2.74,9.58,7.48,0.42,Good
14.98,36.58,4.5,13.97,11.18,0.47,Good
10.11,23.08,23.03,14.19,14.12,0.45,Good
23.31,39.09,2.21,12.18,8.29,0.55,Good
21.05,31.3,5.93,14.29,12.62,0.7,Good
18.12,33.96,5.09,11.78,10.49,0.46,Good
7.08,21.25,3.19,7.96,6.83,0.45,Good
9.48,25.78,3.47,11.3,8.92,0.58,Good
13.78,24.72,3.08,10.61,8.24,0.47,Good
9.29,20.41,8.72,16.43,15.93,0.59,Good
7.14,23.73,4.15,11.84,9.76,0.5,Good
7.53,26.41,3.75,10.7,8.83,0.46,Good
18.57,36.29,3,9.97,7.46,0.76,Good
19.51,39.12,3.98,13.01,10.25,0.65,Good
18.54,35.57,6.02,13.63,12.23,0.62,Good
12.01,28.41,7.47,13.82,13.43,0.64,Good
18.41,39.48,7.8,11.45,12.51,0.6,Good
78.45,137.41,6.19,26,19.23,0.82,Moderate
89.53,148.15,4,22.79,15.39,0.89,Moderate
85.95,135.44,4.35,24.78,16.8,1.04,Moderate
81.5,128.86,3.06,20.13,13.3,0.93,Moderate
77.93,128.41,2.23,14.09,9.4,0.75,Moderate
51.46,82.75,1.84,12.24,8.01,0.64,Moderate
50.33,91.06,3.02,16.68,11.42,0.93,Moderate
64.88,104.25,2.5,15.42,10.32,1.04,Moderate
63.97,109.47,2.43,18.14,11.62,0.83,Moderate
80.27,113.24,2.34,12.84,8.83,0.79,Moderate
63.19,97.39,2.34,13.46,9.15,0.98,Moderate
76.12,111.89,1.96,16.19,10.21,0.83,Moderate
83.5,121.3,2.75,15.78,10.74,0.81,Moderate
79.85,124.9,2.61,16.51,10.24,1.15,Moderate
68.76,109.47,2.82,21.1,13.61,0.92,Moderate
57.83,88.67,2.46,14.13,9.61,0.78,Moderate
77.57,114.45,3.06,14.81,10.46,0.83,Moderate
82.76,122.21,3.15,22.64,14.7,0.78,Moderate
90.54,132.55,3.23,23.89,15.42,1,Moderate
66.82,105.01,2.43,17.15,11.09,0.75,Moderate
83.16,120.25,2.51,17.41,11.31,0.76,Moderate
79.92,119.82,2.56,19.92,12.69,0.9,Moderate
83.64,118.52,1.83,15.67,9.82,0.84,Moderate
72.34,103.82,1.6,13.46,8.46,0.71,Moderate
72.99,104.91,1.88,13.46,8.68,0.69,Moderate
76.56,115.06,1.87,14.77,9.37,0.82,Moderate
84.51,120.22,1.73,13.16,8.41,0.95,Moderate
50.52,81.46,2.37,14.79,9.79,0.59,Moderate
74.45,110.95,1.54,12.5,7.89,0.75,Moderate
59.42,90.44,1.63,12.73,8.09,0.92,Moderate
22.79,38.35,2.27,18.79,11.83,0.64,Good
69.49,97.7,1.95,12.04,8,0.68,Moderate
53.32,75.4,1.81,11.47,7.58,0.64,Moderate
66.57,100.98,1.91,16.47,10.31,0.76,Moderate
78.28,109.42,2.34,16.82,10.84,0.8,Moderate
85.67,121.55,2.61,20.64,13.1,0.95,Moderate
82.66,111.92,1.62,14,8.76,0.85,Moderate
68.4,90.93,1.72,11.06,7.27,0.76,Moderate
56.44,75.95,1.57,10.33,6.65,0.64,Moderate
61.4,96.6,2.53,15.34,10.21,0.73,Moderate
19.94,42.27,2.1,10.35,7.22,0.47,Good
24.44,47.41,3.38,12.27,9.27,0.54,Good
20.12,42.08,4.32,14.78,11.37,0.52,Good
16.85,37.38,2.13,9.88,6.98,0.44,Good
22.46,41.78,1.94,10.81,7.33,0.38,Good
61.24,99.2,3.15,25.9,16.33,0.64,Moderate
64.53,110.64,2.58,23.25,14.46,0.78,Moderate
20.14,31.66,2.18,7.85,5.94,0.49,Good
14.26,24.49,2.46,6.19,5.28,0.52,Good
10.28,22.95,2.09,8.15,6.03,0.49,Good
12.37,22.79,3.17,9.77,7.78,0.54,Good
10.63,22.11,2.43,7.78,6.12,0.46,Good
23.78,44.16,1.98,8.07,5.91,0.49,Good
25.83,45.42,2.21,7.94,6.02,0.47,Good
27.28,47.52,2.65,9.42,7.16,0.57,Good
19.45,36.11,2.41,9.54,7.05,0.58,Good
15.23,28.92,2.14,7.4,5.67,0.49,Good
13.9,26.07,1.78,5.15,4.18,0.49,Good
17.19,39.17,1.39,4.81,3.69,0.46,Good
16.77,35.65,1.38,4.29,3.41,1.47,Moderate
23.67,44.23,1.58,4.99,3.94,0.66,Moderate
13.72,31.06,1.4,4.58,3.58,0,Good
18.38,40.46,1.31,4.91,3.66,0,Good
13.28,40.72,1.37,4.83,3.68,0,Good
29.9,103.68,1.47,10.11,6.4,0.38,Moderate
8.09,37.02,1.58,9.29,6.22,0.48,Good
12.78,38.24,1.66,9.72,6.52,0.51,Good
10.23,35.22,1.85,10.19,6.6,0.5,Good
7.89,34.52,1.76,11.09,7.33,0.54,Good
10.14,43.39,1.33,7.06,4.83,0.42,Good
11.49,47.69,1.48,6.9,4.87,0.42,Good
4.7,12.83,1.66,10.03,6.69,0.53,Good
4.65,12.76,1.48,8.44,5.7,0.48,Good
11.71,25.81,1.6,8.06,5.6,0.53,Good
10.07,24.04,2.12,9.21,6.62,0.48,Good
11.61,31.52,4.88,16.7,12.86,0.5,Good
8.73,18.33,4.64,16.26,11.66,0.38,Good
11.2,27.86,3.27,12.95,9.54,0.62,Good
11.03,34.97,3.18,13.74,9.89,0.64,Good
12.74,30.83,1.66,10.27,6.81,0.59,Good
17.97,50.49,2.05,12.1,8.1,0.65,Good
20.74,37.36,1.9,8.44,6.03,0.62,Good
14.5,24.43,1.53,6.53,4.72,0.55,Good
16.65,28.51,1.43,8.32,5.59,0.66,Good
48.49,120.47,21.53,14.2,,0,Moderate
44.63,113.81,19.51,18.17,,0,Moderate
31.41,63.19,58.03,59.44,,0,Moderate
26.23,168.52,5.08,14.66,,0.81,Moderate
38.53,268.32,5.87,14.79,,0.66,Moderate
38.68,260.46,6.22,18.44,,0.66,Poor
21.38,69.39,5.75,15.67,,0.67,Moderate
33.27,136.51,3.53,14.03,,0.78,Moderate
43.31,206.85,6.22,11.98,,0.8,Moderate
41.05,209.7,10.68,8.86,,0.77,Moderate
28.53,139.39,11.14,8.75,,0.68,Moderate
47.34,109.02,10.16,7.75,,0.65,Moderate
38.36,94.01,10.19,8.41,,0.67,Moderate
29.15,135.49,10.15,16.73,,0.82,Moderate
30.99,129.56,10.32,17.06,,0.85,Moderate
37.7,123.54,10.48,19.62,,0.81,Moderate
47.29,170.2,10.55,18.45,,0.81,Moderate
24.04,131.16,11.06,18.5,,0.75,Moderate
59.49,163.28,10.38,17.95,,0.95,Moderate
75.94,197.0,10.41,17.15,,0.83,Moderate
35.3,190.24,10.29,18.77,,0.74,Moderate
37.93,165.9,10.58,17.69,,0.8,Moderate
54.76,153.86,10.52,17.54,,0.77,Moderate
52.81,197.08,10.27,17.3,,0.85,Moderate
71.8,225.14,24.27,36.24,,0.93,Moderate
44.09,221.27,7.61,16.17,,0.79,Poor
54.21,243.06,7.44,15.66,,0.82,Moderate
56.33,248.8,7.64,16.14,,0.81,Moderate
76.9,253.99,7.49,15.82,,0.9,Moderate
30.64,107.82,7.49,14.81,,0.65,Moderate
39.43,136.27,7.59,15.28,,0.72,Moderate
77.79,259.45,7.64,14.27,,0.97,Moderate
69.26,275.85,7.67,12.45,,0.98,Poor
53.55,253.61,8.56,9.49,,0.88,Poor
78.12,255.33,10.73,8.96,,0.86,Moderate
248.12,445.44,29.93,40.11,70.05,1.08,Severe
148.47,318.1,12.04,32.77,44.81,1.17,Very Poor
194.47,357.95,13.87,35.42,49.29,1.25,Very Poor
214.73,276.08,18.8,41.72,60.52,1.17,Very Poor
71.13,191.27,19.23,40.37,59.6,1.03,Poor
126.19,312.7,27.26,46.16,73.42,1.37,Poor
133.53,309.8,18.63,41.42,60.05,1.19,Very Poor
150.33,299.12,9.42,39.46,48.88,1.13,Very Poor
165.75,302.65,15.8,39.01,54.81,1.42,Very Poor
221.93,295.75,14.34,39.44,53.78,1.3,Very Poor
147.44,289.42,15.54,39.07,54.62,1.37,Very Poor
174.03,267.13,20.75,41.44,62.18,1.45,Poor
145.27,261.79,17.83,39.11,56.94,1.11,Very Poor
129.13,259.59,14.12,32.27,46.39,1.15,Very Poor
146.53,252.25,8.45,29.28,37.73,1.31,Very Poor
144.73,251.09,16.4,37.42,53.81,1.87,Very Poor
160.69,290.59,6.89,17.91,23.24,1.79,Very Poor
140.05,290.75,51.16,42.09,59.61,1.77,Very Poor
97.78,232.21,8.32,30.81,36.48,1.9,Poor
90.68,250.2,26.51,28.37,54.2,1.89,Poor
113,222.95,38.56,21.98,60.07,2.13,Poor
137.47,260.49,38.12,21.68,56.14,2,Poor
147.97,267.24,40.1,24.95,67.76,2.27,Very Poor
151.19,271.2,59.56,29.61,89.17,1.89,Very Poor
121.54,234.56,55.74,20.89,76.63,1.8,Very Poor
89.18,178.8,54.75,5.2,59.94,1.3,Poor
38.17,100.14,46.4,13.71,59.36,0.66,Moderate
78.81,182.69,58.44,41.92,100.36,1.05,Moderate
111.37,228.78,57.05,31.94,88.99,1.4,Poor
83,184.32,52.17,7.07,57.11,0.97,Moderate
106.43,224.99,56.49,12.22,68.71,1.05,Poor
144.45,295.86,54.15,31.96,85.69,1.38,Very Poor
128.92,264.88,61.57,46.82,108.39,1.17,Very Poor
143.36,276.23,76.45,47.59,124.04,1.87,Very Poor
110.68,237.22,68.04,48.8,116.84,1.74,Poor
141.64,270.82,82.14,49.18,130.87,2.31,Very Poor
143.81,268.1,93.94,50.9,144.84,2.44,Very Poor
137.81,263.37,100.06,50.56,150.62,2.5,Very Poor
137.05,266.39,73.78,45.09,118.88,2.52,Very Poor
129.76,268.24,83.19,41.77,124.96,2.65,Very Poor
146.1,283.99,90.92,30.53,120.09,3.08,Very Poor
146.1,265.34,86.92,33.22,119.97,2.91,Very Poor
147.77,270.1,96.96,35.25,132.21,2.47,Very Poor
119.12,232.05,79.18,23.9,103.08,1.96,Poor
130.16,239.25,66.72,14.57,81.29,2.31,Very Poor
108.22,214.5,47.23,7.36,54.59,1.48,Poor
92.93,189.34,47.7,3.08,50.78,1.39,Poor
106.08,215.78,19.15,49.15,66.48,2.41,Moderate
131.98,266.2,31.82,20.28,52.09,2.83,Poor
117.47,236.63,38.13,19.17,57.3,2.15,Very Poor
102.19,198.88,33.67,18.62,52.28,3.83,Poor
44.98,87.5,25.9,13.03,38.91,3.75,Moderate
53.43,87.57,25.21,10.07,35.27,2.82,Moderate
66.28,141.61,24.35,16.09,40.44,1.7,Moderate
58.41,124.48,23.33,16.29,39.62,0.86,Moderate
87.22,198.96,20.54,42.63,54.36,0.96,Poor
56.46,126.01,5.73,25.53,31.26,1.53,Moderate
72.21,157.96,6.3,26.12,32.42,2.16,Moderate
96.33,186.31,7.72,28.36,36.08,1.71,Moderate
112.36,210.37,8,28.77,36.76,1.41,Poor
148.9,272.45,7.08,28.1,35.17,1.22,Very Poor
177.53,303.42,8.73,28.78,37.51,1.37,Very Poor
101.19,188.85,5.98,26.62,32.6,1.24,Poor
100.84,199.13,5.9,27.47,33.37,1.63,Poor
133.75,254.85,6.72,28.81,35.53,2,Poor
158.06,285.43,8.56,30.4,38.96,2.11,Very Poor
161.69,291.36,7.82,30.43,38.24,1.7,Very Poor
149.97,260.76,9.53,31.25,40.78,1.74,Very Poor
87.04,179.58,7.47,29.9,37.38,1.42,Poor
103.52,189.41,7.5,78.17,86.29,1.66,Poor
124.02,195.9,23.65,94.18,134.6,1.92,Very Poor
66.92,138.18,17.36,86.72,105.11,1.36,Moderate
77.72,158.17,7.18,79.22,86.56,1.44,Moderate
77.71,151.64,5.23,77.4,96.5,1.25,Moderate
73.58,146.1,5.84,78.11,84.39,1.2,Moderate
61.57,131.82,5.4,77.61,96.68,1.23,Moderate
70.31,154.81,5.62,76.93,82.55,1.24,Moderate
74.04,163.69,6.29,76.91,83.2,1.2,Moderate
58.91,131.93,5.36,77.1,82.45,1.1,Moderate
58.9,110.95,6.49,78.77,88.61,0.82,Moderate
26.86,59.87,6.99,78.52,99.51,0.68,Moderate
62.55,122.25,7.44,79.24,87.27,1.98,Moderate
57.51,120.69,7.2,79.01,99.72,1.26,Moderate
70.09,160.56,15.42,60.24,81.09,1.04,Moderate
53.67,114.13,79.13,34.3,103.35,0.92,Moderate
45.61,101.86,56.09,45.86,115.47,0.94,Moderate
61.12,131.87,72.13,47.57,120.39,0.92,Moderate
56.96,135.69,71.85,53.42,140.88,0.92,Moderate
44.39,114.54,72.97,54.79,127.95,0.94,Moderate
31.79,96.3,66.62,59.83,141.5,0.82,Moderate
55.78,138.44,70.91,65.5,150.96,0.77,Moderate
50.4,131.72,57.49,70.81,141.86,0.66,Moderate
58.71,147.2,43.49,57.73,100.19,0.64,Moderate
48.6,136.91,28.66,49.52,82.69,0.63,Moderate
59.76,157.27,22.63,42.42,68.61,0.64,Moderate
67.11,160.02,18.92,49.05,71.77,0.61,Moderate
69.65,162.02,16.51,49.28,65.6,0.64,Moderate
67.14,166.85,30.58,61.48,102.14,0.63,Moderate
58.38,177.22,17.58,48.94,66.03,0.59,Moderate
48.16,87.04,12.79,35.24,60.95,0.52,Moderate
68.32,181.17,18.6,30.42,53.75,1.53,Moderate
41.54,135.18,15.39,9.04,34.52,0.76,Moderate
53.44,159.72,15.28,11.58,37.88,0.72,Moderate
52.41,166.21,15.9,13.27,39.88,0.71,Moderate
69.46,205.16,16.51,13.13,40.59,0.66,Moderate
54.32,166.52,14.04,9.71,34.15,0.67,Moderate
43.14,122.51,14.65,10.2,36.43,0.61,Moderate
52.39,143.82,18.45,13.52,43.62,0.61,Moderate
29.75,89.22,16.36,10.8,38.61,0.54,Moderate
58.6,153.78,15.83,9.93,35.86,0.55,Moderate
57.97,149.22,15.54,9.32,34.92,0.47,Moderate
46.84,128.01,16.33,9.46,36.16,0.56,Moderate
58.97,153.53,10.96,9.45,20.72,0.69,Moderate
51.79,140.04,11.78,10.5,22.28,0.75,Moderate
29.06,104.61,11.67,9.14,27.71,0.69,Moderate
42.29,129.74,12.7,9.54,29.85,0.64,Moderate
48.66,155.13,12.38,8.7,28.47,0.57,Moderate
54.53,157.09,11.78,8,20.1,0.88,Moderate
